Goalie Mask,ICE,Black,Adult,678887-UP,,ISC,Professional,60,85,23,40
Youth Baseball Bat,BAS,15.5,28 in,YX650-15528,,HTB,Metal,35,77.77,0,40
Youth Baseball Bat,BAS,15.5,29 in,YX650-15529,,HTB,Metal,35,77.77,0,40
Youth Baseball Bat,BAS,15.5,30 in,YX650-15530,,HTB,Metal,35,77.77,0,40
Youth Baseball Bat,BAS,15.5,31 in,YX650-15531,,HTB,Metal,35,77.77,50,40
Youth Baseball Bat,BAS,15.5,32 in,YX650-15532,,HTB,Metal,35,77.77,0,40
Youth Baseball Bat,BAS,16.5,28 in,YX650-16528,,HTB,Metal,35,77.77,0,40
Youth Baseball Bat,BAS,16.5,29 in,YX650-16529,,HTB,Metal,35,77.77,0,40
Youth Baseball Bat,BAS,16.5,30 in,YX650-16530,,HTB,Metal,35,77.77,0,40
Youth Baseball Bat,BAS,16.5,31 in,YX650-16531,,HTB,Metal,35,77.77,0,40
Youth Baseball Bat,BAS,16.5,32 in,YX650-16532,,HTB,Metal,35,77.77,0,40
Youth Baseball Bat,BAS,17.5,28 in,YX650-17528,,HTB,Metal,35,77.77,0,40
Youth Baseball Bat,BAS,17.5,29 in,YX650-17529,,HTB,Metal,35,77.77,0,40
Youth Baseball Bat,BAS,17.5,30 in,YX650-17530,,HTB,Metal,35,77.77,0,40
Youth Baseball Bat,BAS,17.5,31 in,YX650-17531,,HTB,Metal,35,77.77,0,40
Youth Baseball Bat,BAS,17.5,32 in,YX650-17532,,HTB,Metal,35,77.77,0,40
Youth Baseball Bat,BAS,18.5,29 in,YX650-18529,,HTB,Metal,35,77.77,0,40
Youth Baseball Bat,BAS,18.5,28 in,YX650-18528,,HTB,Metal,35,77.77,0,40
Youth Baseball Bat,BAS,18.5,30 in,YX650-18530,,HTB,Metal,35,77.77,0,40
Youth Baseball Bat,BAS,18.5,31 in,YX650-18531,,HTB,Metal,35,77.77,0,40
Youth Baseball Bat,BAS,18.5,32 in,YX650-18532,,HTB,Metal,35,77.77,0,40
Youth Baseball Bat,BAS,19.5,28 in,YX650-19528,,HTB,Metal,35,77.77,0,40
Youth Baseball Bat,BAS,19.5,29 in,YX650-19529,,HTB,Metal,35,77.77,0,40
Youth Baseball Bat,BAS,19.5,30 in,YX650-19530,,HTB,Metal,35,77.77,0,40
Youth Baseball Bat,BAS,19.5,31 in,YX650-19531,,HTB,Metal,35,77.77,0,40
Youth Baseball Bat,BAS,19.5,32 in,YX650-19532,,HTB,Metal,35,77.77,0,40
Cleats,KID,Black,10,1248896-10,,LRN,,11.5,23,0,40
Cleats,KID,Black,10.5,1248896-105,,LRN,,11.5,23,0,40
Cleats,KID,Black,11,1248896-11,,LRN,,11.5,23,0,40
Cleats,KID,Black,11.5,1248896-115,,LRN,,11.5,23,1,40
Cleats,KID,Black,12,1248896-12,,LRN,,11.5,23,0,40
Mens Running Shoe,MEN,C,7,NB991GLC-7,,LRN,White Red and Silver,58,111.52,0,40
Mens Running Shoe,MEN,C,7.5,NB991GLC-75,,LRN,White Red and Silver,58,111.52,0,40
Mens Running Shoe,MEN,C,8,NB991GLC-8,,LRN,White Red and Silver,58,111.52,10,40
Mens Running Shoe,MEN,C,8.5,NB991GLC-85,,LRN,White Red and Silver,58,111.52,6,40
Mens Running Shoe,MEN,C,9,NB991GLC-9,,LRN,White Red and Silver,58,111.52,0,40
Mens Running Shoe,MEN,C,9.5,NB991GLC-95,,LRN,White Red and Silver,58,111.52,11,40
Mens Running Shoe,MEN,C,10,NB991GLC-10,,LRN,White Red and Silver,58,111.52,5,40
Mens Running Shoe,MEN,C,10.5,NB991GLC-105,,LRN,White Red and Silver,58,111.52,0,40
Mens Running Shoe,MEN,C,11,NB991GLC-11,,LRN,White Red and Silver,58,111.52,0,40
Mens Running Shoe,MEN,C,11.5,NB991GLC-115,,LRN,White Red and Silver,58,111.52,2,40
Mens Running Shoe,MEN,C,12,NB991GLC-12,,LRN,White Red and Silver,58,111.52,0,40
Mens Running Shoe,MEN,C,12.5,NB991GLC-125,,LRN,White Red and Silver,58,111.52,0,40
Womens Running Shoe,WOM,B,5,X303ATB-5,,LRN,White Red and Silver,55,105.76,12,40
Adult Baseball Glove,BAS,Right,12,PRSC47-12,,BAM,White Red and Silver,45,89.98,0,40
Womens Running Shoe,WOM,B,5.5,X303ATB-55,,LRN,White Red and Silver,55,105.76,0,40
Womens Running Shoe,WOM,B,6,X303ATB-6,,LRN,White Red and Silver,55,105.76,8,40
Womens Running Shoe,WOM,B,6.5,X303ATB-65,,LRN,White Red and Silver,55,105.76,-4,40
Womens Running Shoe,WOM,B,7,X303ATB-7,,LRN,White Red and Silver,55,105.76,6,40
Womens Running Shoe,WOM,B,7.5,X303ATB-75,,LRN,White Red and Silver,55,105.76,0,40
Womens Running Shoe,WOM,B,8,X303ATB-8,,LRN,White Red and Silver,55,105.76,0,40
Womens Running Shoe,WOM,B,8.5,X303ATB-85,,LRN,White Red and Silver,55,105.76,6,40
Womens Running Shoe,WOM,B,9,X303ATB-9,,LRN,White Red and Silver,55,105.76,0,40
Womens Running Shoe,WOM,B,9.5,X303ATB-95,,LRN,White Red and Silver,55,105.76,0,40
Womens Running Shoe,WOM,B,10,X303ATB-10,,LRN,White Red and Silver,55,105.76,0,40
Womens Running Shoe,WOM,B,10.5,X303ATB-105,,LRN,White Red and Silver,55,105.76,6,40
Adult Baseball Glove,BAS,Right,11 1/4,PRSC47-1125,,BAM,,45,89.98,-23,40
Adult Baseball Glove,BAS,Right,11 1/2,PRSC47-115,,BAM,,45,89.98,-43,40
Adult Baseball Glove,BAS,Right,12 1/4,PRSC47-1225,,BAM,,45,89.98,1,40
Adult Baseball Glove,BAS,Right,12 3/4,PRSC47-1275,,BAM,,45,89.98,0,40
Adult Baseball Glove,BAS,Left,11 1/4,PRSC48-1125,,BAM,,45,89.98,-4,40
Adult Baseball Glove,BAS,Left,11 1/2,PRSC48-115,,BAM,,45,89.98,-15,40
Adult Baseball Glove,BAS,Left,12,PRSC48-12,,BAM,,45,89.98,-47,40
Adult Baseball Glove,BAS,Left,12 1/4,PRSC48-1225,,BAM,,45,89.98,-27,40
Adult Baseball Glove,BAS,Left,12 3/4,PRSC48-1275,,BAM,,45,89.98,-106,40
Youth Baseball Glove,BAS,Right,10 3/4,PRTG301-1075,,BAM,,28,55.99,0,40
Youth Baseball Glove,BAS,Right,11,PRTG301-11,,BAM,,28,55.99,0,40
Youth Baseball Glove,BAS,Right,11 1/4,PRTG301-1125,,BAM,,28,55.99,0,40
Youth Baseball Glove,BAS,Right,11 1/2,PRTG301-1150,,BAM,,28,55.99,0,40
Youth Baseball Glove,BAS,Right,11 3/4,PRTG301-1175,,BAM,,28,55.99,0,40
Youth Baseball Glove,BAS,Right,12,PRTG301-12,,BAM,,28,55.99,0,40
Youth Baseball Glove,BAS,Left,10 3/4,PRTG303-1075,,BAM,,28,55.99,-40,40
Youth Baseball Glove,BAS,Left,11,PRTG303-11,,BAM,,28,55.99,2,40
Sweatshirt,MEN,Grey,XSML,AD242555X,,SWH,,11,21.99,0,40
Youth Baseball Glove,BAS,Left,11 1/4,PRTG303-1125,,BAM,,28,55.99,0,40
Youth Baseball Glove,BAS,Left,11 1/2,PRTG303-1150,,BAM,,28,55.99,2,40
Youth Baseball Glove,BAS,Left,11 3/4,PRTG303-1175,,BAM,,28,55.99,0,40
Youth Baseball Glove,BAS,Left,12,PRTG303-12,,BAM,,28,55.99,0,40
Sweatpants,MEN,Grey,XSML,AD142555X,,SWH,Fleece,11,21.99,0,40
Sweatpants,MEN,Grey,SML,AD142555S,,SWH,Fleece,11,21.99,0,40
Batting Tee,BAS,,,RX13941,,HTB,,18,39.99,-27,40
Sweatpants,MEN,Grey,MED,AD142555M,,SWH,Fleece,11,21.99,0,40
Sweatpants,MEN,Grey,LRG,AD142555L,,SWH,Fleece,13.5,21.99,6,40
Sweatpants,MEN,Grey,XL,AD142555XL,,SWH,Fleece,11,21.99,0,40
Sweatpants,MEN,Black,XSML,AD142556X,,SWH,Fleece,11,21.99,0,40
Sweatpants,MEN,Black,SML,AD142556S,,SWH,Fleece,11,21.99,0,40
Sweatpants,MEN,Black,MED,AD142556M,,SWH,Fleece,11,21.99,0,40
Sweatpants,MEN,Black,LRG,AD142556L,,SWH,Fleece,11,21.99,0,40
Sweatpants,MEN,Black,XL,AD142556XL,,SWH,Fleece,11,21.99,0,40
Sweatpants,MEN,Navy,XSML,AD142557X,,SWH,Fleece,11,21.99,0,40
Sweatpants,MEN,Navy,SML,AD142557S,,SWH,Fleece,11,21.99,0,40
Sweatpants,MEN,Navy,MED,AD142557M,,SWH,Fleece,11,21.99,0,40
Sweatpants,MEN,Navy,LRG,AD142557L,,SWH,Fleece,11,21.99,0,40
Sweatpants,MEN,Navy,XL,AD142557XL,,SWH,Fleece,11,21.99,0,40
Sweatpants,MEN,Red,XSML,AD142558X,,SWH,Fleece,11,21.99,0,40
Sweatpants,MEN,Red,SML,AD142558S,,SWH,Fleece,11,21.99,0,40
Sweatpants,MEN,Red,MED,AD142558M,,SWH,Fleece,11,21.99,0,40
Sweatpants,MEN,Red,LRG,AD142558L,,SWH,Fleece,11,21.99,0,40
Sweatpants,MEN,Red,XL,AD142558XL,,SWH,Fleece,11,21.99,-6,40
Sweatshirt,MEN,Grey,SML,AD242555S,,SWH,,11,21.99,0,40
Sweatshirt,MEN,Grey,MED,AD242555M,,SWH,,11,21.99,0,40
Sweatshirt,MEN,Grey,LRG,AD242555L,,SWH,,11,21.99,0,40
Sweatshirt,MEN,Grey,XL,AD242555XL,,SWH,,11,21.99,0,40
Sweatshirt,MEN,Black,XSML,AD242556X,,SWH,,11,21.99,0,40
Bat Choke,BAS,,,,,BAM,,1.24,3,0,40
Sweatshirt,MEN,Black,SML,AD242556S,,SWH,,11,21.99,0,40
Sweatshirt,MEN,Black,MED,AD242556M,,SWH,,11,21.99,0,40
Sweatshirt,MEN,Black,LRG,AD242556L,,SWH,,11,21.99,0,40
Sweatshirt,MEN,Black,XL,AD242556XL,,SWH,,11,21.99,-17,40
Sweatshirt,MEN,Navy,XSML,AD242557X,,SWH,,11,21.99,0,40
Sweatshirt,MEN,Navy,SML,AD242557S,,SWH,,11,21.99,0,40
Sweatshirt,MEN,Navy,MED,AD242557M,,SWH,,11,21.99,0,40
Sweatshirt,MEN,Navy,LRG,AD242557L,,SWH,,11,21.99,0,40
Sweatshirt,MEN,Navy,XL,AD242557XL,,SWH,,11,21.99,0,40
Sweatshirt,MEN,Red,XSML,AD242558X,,SWH,,11,21.99,0,40
Sweatshirt,MEN,Red,SML,AD242558S,,SWH,,11,21.99,0,40
Sweatshirt,MEN,Red,MED,AD242558M,,SWH,,11,21.99,0,40
Sweatshirt,MEN,Red,LRG,AD242558L,,SWH,,11,21.99,0,40
Sweatshirt,MEN,Red,XL,AD242558XL,,SWH,,11,21.99,0,40
Sweatpants,WOM,Grey,XSML,AD198515X,,SWH,Fleece,10.5,20.99,3,40
Sweatpants,WOM,Grey,XL,AD198515XL,,SWH,Fleece,10.5,20.99,0,40
Sweatpants,WOM,Grey,SML,AD198515S,,SWH,Fleece,10.5,20.99,0,40
Sweatpants,WOM,Grey,MED,AD198515M,,SWH,Fleece,10.5,20.99,0,40
Sweatpants,WOM,Grey,LRG,AD198515L,,SWH,Fleece,10.5,20.99,0,40
Sweatpants,WOM,White,XSML,AD198519X,,SWH,Fleece,10.5,20.99,0,40
Sweatpants,WOM,White,XL,AD198519XL,,SWH,Fleece,10.5,20.99,0,40
Sweatpants,WOM,White,SML,AD198519S,,SWH,Fleece,10.5,20.99,0,40
Sweatpants,WOM,White,MED,AD198519M,,SWH,Fleece,10.5,20.99,0,40
Sweatpants,WOM,White,LRG,AD198519L,,SWH,Fleece,10.5,20.99,0,40
Sweatpants,WOM,Black,XSML,AD198516X,,SWH,Fleece,10.5,20.99,0,40
Sweatpants,WOM,Black,XL,AD198516XL,,SWH,Fleece,10.5,20.99,0,40
Sweatpants,WOM,Black,SML,AD198516S,,SWH,Fleece,10.5,20.99,0,40
Sweatpants,WOM,Black,MED,AD198516M,,SWH,Fleece,10.5,20.99,0,40
Sweatpants,WOM,Black,LRG,AD198516L,,SWH,Fleece,10.5,20.99,0,40
Sweatpants,WOM,Navy,XSML,AD198517X,,SWH,Fleece,10.5,20.99,0,40
Sweatpants,WOM,Navy,XL,AD198517XL,,SWH,Fleece,10.5,20.99,0,40
Sweatpants,WOM,Navy,SML,AD198517S,,SWH,Fleece,10.5,20.99,0,40
Sweatpants,WOM,Navy,MED,AD198517M,,SWH,Fleece,10.5,20.99,0,40
Sweatpants,WOM,Navy,LRG,AD198517L,,SWH,Fleece,10.5,20.99,0,40
Sweatshirt,WOM,Grey,XSML,AD246615X,,SWH,,10.5,20.99,0,40
Sweatshirt,WOM,Grey,SML,AD246615S,,SWH,,10.5,20.99,0,40
Sweatshirt,WOM,Grey,MED,AD246615M,,SWH,,10.5,20.99,0,40
Sweatshirt,WOM,Grey,LRG,AD246615L,,SWH,,10.5,20.99,0,40
Sweatshirt,WOM,Grey,XL,AD246615XL,,SWH,,10.5,20.99,0,40
Sweatshirt,WOM,White,XSML,AD246619X,,SWH,,10.5,20.99,0,40
Sweatshirt,WOM,White,SML,AD246619S,,SWH,,10.5,20.99,0,40
Sweatshirt,WOM,White,MED,AD246619M,,SWH,,10.5,20.99,0,40
Sweatshirt,WOM,White,LRG,AD246619L,,SWH,,10.5,20.99,0,40
Sweatshirt,WOM,White,XL,AD246619XL,,SWH,,10.5,20.99,4,40
Sweatshirt,WOM,Black,XSML,AD246616X,,SWH,,10.5,20.99,0,40
Sweatshirt,WOM,Black,SML,AD246616S,,SWH,,10.5,20.99,0,40
Sweatshirt,WOM,Black,MED,AD246616M,,SWH,,10.5,20.99,0,40
Sweatshirt,WOM,Black,LRG,AD246616L,,SWH,,10.5,20.99,0,40
Cleats,KID,Black,13,1248896-13,,LRN,,11.5,23,2,40
Sweatshirt,WOM,Black,XL,AD246616XL,,SWH,,10.5,20.99,3,40
Sweatshirt,WOM,Navy,XSML,AD246617X,,SWH,,10.5,20.99,0,40
Sweatshirt,WOM,Navy,SML,AD246617S,,SWH,,10.5,20.99,0,40
Sweatshirt,WOM,Navy,MED,AD246617M,,SWH,,10.5,20.99,0,40
Sweatshirt,WOM,Navy,LRG,AD246617L,,SWH,,10.5,20.99,0,40
Sweatshirt,WOM,Navy,XL,AD246617XL,,SWH,,10.5,20.99,0,40
Baseball Hat,HAT,Black,SML,T801S,,ABC,Classic Fit,6.5,11.99,0,40
Baseball Hat,HAT,Grey,SML,T802S,,ABC,Classic Fit,6.5,11.99,0,40
Baseball Hat,HAT,Tan,SML,T805S,,ABC,Classic Fit,6.5,11.99,-6,40
Baseball Hat,HAT,Black,MED,T801M,,ABC,Classic Fit,6.5,11.99,-2,40
Baseball Hat,HAT,Grey,MED,T802M,,ABC,Classic Fit,6.5,11.99,-4,40
Baseball Hat,HAT,Tan,MED,T805M,,ABC,Classic Fit,6.5,11.99,0,40
Baseball Hat,HAT,Tan,LRG,T805L,,ABC,Classic Fit,6.5,11.99,-40,40
Baseball Hat,HAT,Grey,LRG,T802L,,ABC,Classic Fit,6.5,11.99,6,40
Baseball Hat,HAT,Black,LRG,T801L,,ABC,Classic Fit,6.5,11.99,-43,40
Baseball Hat,HAT,Black,XL,T801XL,,ABC,Classic Fit,6.5,11.99,6,40
Baseball Hat,HAT,Grey,XL,T802XL,,ABC,Classic Fit,6.5,11.99,0,40
Baseball Hat,HAT,Tan,XL,T805XL,,ABC,Classic Fit,6.5,11.99,0,40
Baseball Socks,BAS,White,,PF11231,,ABC,One size fits all,3,5.99,-21,40
Baseball Socks,BAS,Grey,,PF11233,,ABC,One size fits all,3,5.99,0,40
Hard Ball,BAS,Synth,,BBHB-6,,BAM,,6.13,13.99,0,40
Hard Ball,BAS,Leath,,BBHB-1,,BAM,,9,17.5,-32,40
Sports Team Logo Shirt,TEA,White,SML,LAD591S,,TSG,Dodgers,17,29.99,0,40
Sports Team Logo Shirt,TEA,White,MED,LAD591M,,TSG,Dodgers,17,29.99,12,40
Sports Team Logo Shirt,TEA,White,LRG,LAD591L,,TSG,Dodgers,17,29.99,12,40
Sports Team Logo Shirt,TEA,White,XL,LAD591XL,,TSG,Dodgers,17,29.99,0,40
Sports Team Logo Shirt,TEA,Grey,SML,LAD593S,,TSG,Dodgers,17,29.99,0,40
Sports Team Logo Shirt,TEA,Grey,MED,LAD593M,,TSG,Dodgers,17,29.99,0,40
Sports Team Logo Shirt,TEA,Grey,LRG,LAD593L,,TSG,Dodgers,17,29.99,6,40
Sports Team Logo Shirt,TEA,Grey,XL,LAD593XL,,TSG,Dodgers,17,29.99,12,40
Cleats,KID,Black,12.5,1248896-125,,LRN,,11.5,23,0,40
Cleats,KID,Black,13.5,1248896-135,,LRN,,11.5,23,1,40
Cleats,KID,Black,1,1248896-1,,LRN,,11.5,23,-5,40
Cleats,KID,Black,1.5,1248896-15,,LRN,,11.5,23,2,40
Cleats,KID,Black,2,1248896-2,,LRN,,11.5,23,0,40
Cleats,KID,Black,2.5,1248896-25,,LRN,,11.5,23,-12,40
Cleats,KID,Black,3,1248896-3,,LRN,,11.5,23,0,40
Cleats,KID,Black,3.5,1248896-35,,LRN,,11.5,23,0,40
Cleats,KID,Black,4,1248896-4,,LRN,,11.5,23,-15,40
Cleats,KID,Black,4.5,1248896-45,,LRN,,11.5,23,0,40
Baseball Team Shirt,KID,Yl/Wht,XSML,LAD681X,,TSG,Dodgers,9,19.99,-27,40
Baseball Team Shirt,KID,Bl/Wht,XSML,LAD682X,,TSG,Dodgers,9,19.99,-4,40
Baseball Team Shirt,KID,Rd/Wht,XSML,LAD683X,,TSG,Dodgers,9,19.99,7,40
Baseball Team Shirt,KID,Gr/Wht,XSML,LAD684X,,TSG,Dodgers,9,19.99,0,40
Baseball Team Shirt,KID,Yl/Wht,SML,LAD681S,,TSG,Dodgers,9,19.99,0,40
Baseball Team Shirt,KID,Gr/Wht,SML,LAD682S,,TSG,Dodgers,9,19.99,0,40
Baseball Team Shirt,KID,Rd/Wht,SML,LAD683S,,TSG,Dodgers,9,19.99,-2,40
Baseball Team Shirt,KID,Bl/Wht,SML,LAD684S,,TSG,Dodgers,9,19.99,0,40
Baseball Team Shirt,KID,Bl/Wht,MED,LAD684M,,TSG,Dodgers,9,19.99,4,40
Baseball Team Shirt,KID,Rd/Wht,MED,LAD683M,,TSG,Dodgers,9,19.99,0,40
Baseball Team Shirt,KID,Gr/Wht,MED,LAD682M,,TSG,Dodgers,9,19.99,0,40
Baseball Team Shirt,KID,Yl/Wht,MED,LAD681M,,TSG,Dodgers,9,19.99,0,40
Baseball Team Shirt,KID,Gr/Wht,LRG,LAD682L,,TSG,Dodgers,9,19.99,0,40
Baseball Team Shirt,KID,Rd/Wht,LRG,LAD683L,,TSG,Dodgers,9,19.99,0,40
Baseball Team Shirt,KID,Bl/Wht,LRG,LAD684L,,TSG,Dodgers,9,19.99,0,40
Baseball Team Shirt,KID,Yl/Wht,LRG,LAD681L,,TSG,Dodgers,9,19.99,0,40
Baseball Team Shirt,KID,Yl/Wht,XL,LAD681XL,,TSG,Dodgers,9,19.99,0,40
Baseball Team Shirt,KID,Gr/Wht,XL,LAD684XL,,TSG,Dodgers,9,19.99,0,40
Baseball Team Shirt,KID,Rd/Wht,XL,LAD683XL,,TSG,Dodgers,9,19.99,0,40
Baseball Team Shirt,KID,Bl/Wht,XL,LAD682XL,,TSG,Dodgers,9,19.99,0,40
Baseball Team Shirt,KID,Bl/Wht,XXL,LAD682XX,,TSG,Dodgers,10,22.22,0,40
Baseball Team Shirt,KID,Rd/Wht,XXL,LAD683XX,,TSG,Dodgers,10,22.22,0,40
Baseball Team Shirt,KID,Gr/Wht,XXL,LAD684XX,,TSG,Dodgers,10,22.22,0,40
Baseball Team Shirt,KID,Yl/Wht,XXL,LAD681XX,,TSG,Dodgers,10,22.22,0,40
Kid's Batting Starter,PRO,,,Kid Bat Start,,SYS,,49.84,78.59,4,40
59 Minute Baseball Practice,INS,,VHS,V1002,,ASP,,15.99,23.7,7,40
Sliding Pants,KID,White,XSML,SP151-X,,ASP,,9,19.99,0,40
Sliding Pants,KID,White,SML,SP151-S,,ASP,,9,19.99,0,40
Sliding Pants,KID,White,MED,SP151-M,,ASP,,9,19.99,0,40
Sliding Pants,KID,White,LRG,SP151-L,,ASP,,9,19.99,0,40
Sliding Pants,KID,White,XL,SP151-XL,,ASP,,9,19.99,0,40
Sliding Pants,KID,White,XXL,SP151-XX,,ASP,,9,19.99,0,40
Batting Cage Coupon,PRO,,,Bat Coup,,SYS,,2.5,10,0,40
59 Minute Baseball Practice,INS,,DVD,D2002,,ASP,,11.99,31.3,-46,40
Softball Slow Pitch Video,INS,,VHS,V1312,,ASP,,13.25,24.95,2,40
Pitcher's Target,INS,,48x72,TARG4872,,BAM,,85.5,119.95,0,40
Jr. Playback Trainer,INS,,38x58,TRN3858,,BAM,,51.75,69.95,2,40
Jr. Strike Zone,INS,,28x58,TARG2858,,BAM,,62.35,89.95,2,40
Bat Sleeve,BAS,Black,,BAT112,,HTB,,5.65,11,0,40
"Bat-Ball Combo, Jr.",BAS,,Jr.,,,HTB,,42.94,68.75,-4,40
Pro Batter's Set,BAS,,,,,HTB,,198.88,266.2,2,40
Softball,BAS,,"4""",A129100,5.68E+11,HTB,Softcore Incrediball,4.95,8.95,-18,40
"Softball, Jr.",BAS,,"3""",A129106,,HTB,,4.95,8.95,0,40
Pitch Counter,BAS,,,HLC,56780987659,BAM,Hand Held,5.5,7.95,12,40
Oversize Team Duffle,BAS,White,5,BAG223W,,BAM,,12.99,19.95,6,40
Oversize Team Duffle,BAS,Denim,5,BAG223D,,BAM,,12.99,19.95,4,40
Power Pads,BAS,Red,,PR88127,,ABC,Bat handle soft pad,3.25,4.5,12,40
Power Pads,BAS,Black,,PR88126,,ABC,Bat handle soft pad,3.25,4.5,0,40
Power Pads,BAS,Royal,,PR88129,,ABC,Bat handle soft pad,3.25,4.5,0,40
Batter's Elbow,BAS,Left,,,,ASP,Elbow Protector,17,24.95,-24,40
Batter's Elbow,BAS,Right,,,,ASP,Elbow Protector,17,24.95,-8,40
Wristband,KID,,"4""",RW4,,HTB,Dual Elastic Wristband,2.99,4.95,0,40
Ball Bucket - hard top,BAS,,,RBUCKET,,BAM,,8.95,15.95,0,40
Ball Bucket - soft pack,BAS,,,XBALLBAG,,BAM,,12.99,29.95,0,40
"Bat-Ball Combo, Standard",BAS,,Std,,,HTB,,75,121.43,0,40
"Bucket of Balls, Soft",BAS,,,,,ABC,,22.5,34.95,10,40
"Bucket of Balls, Hard",BAS,,,,,ABC,,12.5,24.95,10,40
Batter's Box Mug,PRO,,,,,SWH,,12.99,16.14,-12,40
Batter's Box Coaster,PRO,,,,,SWH,,5.75,8.54,6,40
Batter's Box Calendar,PRO,,,,,SWH,,12,17.09,-7,40
Mug-Coaster-Calendar Set,PRO,,,,,SWH,,30.74,31.33,0,40
Bicycle: Touring,CYC,Red,17,GS4000-17,,SWH,Mens Frame,250,500,0,40
Bicycle: Touring,CYC,Red,16,GS4001-16,,SWH,Womens Frame,250,500,0,40
Bicycle: Touring,CYC,Red,18,GS4000-18,,SWH,Mens Frame,250,500,2,40
Bicycle: Touring,CYC,Red,16.5,GS4001-165,,SWH,Womens Frame,250,500,-4,40
Bicycle: Mountain,CYC,Silver,17,ER300-17,,SWH,Mens Frame,250,575,0,40
Bicycle: Mountain,CYC,Silver,18,ER300-18,,SWH,Mens Frame,250,575,-6,40
Bicycle: Mountain,CYC,Silver,16,ER302-16,,SWH,Womens Frame,250,575,-5,40
Bicycle: Mountain,CYC,Silver,16.5,ER302-165,,SWH,Womens Frame,250,575,-14,40
Bike Helmet,CYC,White,Small,,,ASP,,25,65,-16,40
Bike Helmet,CYC,White,Medium,,,ASP,,29.16667,65,1,40
Bike Helmet,CYC,White,Large,,,ASP,,35,65,-14,40
Bike Helmet,CYC,Black,Small,,,ASP,,25,65,0,40
Bike Helmet,CYC,Black,Medium,,,ASP,,50,65,4,40
Bike Helmet,CYC,Black,Large,,,ASP,,25,65,1,40
Hockey Stick,ICE,Wood,Adult,268IC,42666000086,ISC,Professional,62,85,-12,40
Hockey Stick,ICE,Wood,Child,2525IC,,ISC,Professional,42,60,-53,40
Goalie Mark,ICE,Red,Adult,789345-AZ,,ISC,Professional,180,225,16,40
Puck,ICE,Black,Regulation,,,ISC,,8,15,-76,40
Skates,ICE,Black,9,,,ISC,Men's Hockey,101,185,4,40
Skates,ICE,Black,9.5,,,ISC,Men's Hockey,101,185,4,40
Skates,ICE,Black,10,,,ISC,Men's Hockey,101,185,20,40
Skates,ICE,Black,10.5,,,ISC,Men's Hockey,101,185,24,40
Lures,FSH,,Assorted,,,PFH,Fly Fishing Lures,12,28,-43,40
Skates,ICE,Black,11,,,ISC,Men's Hockey,101,185,-3,40
Skates,ICE,Black,11.5,,,ISC,Men's Hockey,101,185,-20,40
Skates,ICE,Black,12,,,ISC,Men's Hockey,101,185,17,40
Reel,FSH,,,2244661-FSH,,PFH,Stainless Steel,28,45,-7,40
Reel,FSH,,,348900-FS,,PFH,Brass,28,45,16,40
Boxing Gloves,BOX,Red,XL,4506930-00,,SFA,Professional Men's,72,95,-23,40
Rod and Reel,FSH,,,348880-90,,PFH,Fly Fishing,92,127,-3,40
Punching Bag,BOX,Red,,335467-89,,SFA,,62,85,-11,40
Jump Rope,BOX,,,45079598-90,,SFA,,18,26,-26,40
Snorkel,WTR,Yellow,Adult,356469-WTR,,SFA,Professional,71,89,23,40
Snorkel Fins,WTR,Black,XL,34503945-WTR,,SFA,Professional,82,100,15,40
Oxygen Tank,WTR,Yellow,,5049596-WTR,,SFA,,172,210,5,40
Wet Suit,WTR,Red/Wht/Bl,XXL,34530-22-STR,,SFA,,101,135,6,40
Wet Suit,WTR,Red/Wht/Bl,XL,,,SFA,,101,135,9,40
Wet Suit,WTR,Red/Wht/Bl,LRG,,,SFA,,101,135,19,40
Wet Suit,WTR,Red/Wht/Bl,MED,,,SFA,,101,135,-16,40
Snorkel Fins,WTR,Black,LRG,,,SFA,Professional,82,100,14,40
Snorkel Fins,WTR,Black,XXL,,,SFA,Professional,82,100,13,40
Chest Protector,BAS,Black,Adult,45-CTC-24567,,HTB,Catcher's Chest Protector,112,187,-10,40
Catcher's Mitt,BAS,Left,Adult,44-CTR-56900,,BAM,Leather Catcher's Mitt,71,95,19,40
Shoulder Pads,FTB,Adult,XL,00-FTB-4567,,BAM,,68,86,20,40
Football,FTB,Official,Regulation,00-FTB-3456,,BAM,,23,31,10,40
Tennis Balls,TNS,Yellow,,22-TNS-4556,,ASP,,13,22,-104,40
Racquet,TNS,Blue,Adult,00-TNS-2354,,ASP,,66,85,-16,40
Figure Skates,ICE,Women's,8,11-ISC-34434,,ISC,Professional,98,135,13,40
Figure Skates,ICE,Women's,9,,,ISC,Professional,98,135,9,40
Figure Skates,ICE,Women's,9.5,,,ISC,Professional,0,135,0,40
Figure Skates,ICE,Women's,10.5,,,ISC,Professional,0,135,0,40
Figure Skates,ICE,Women's,10,,,ISC,Professional,98,135,12,40
